Data,Região,Produto,Quantidade,Preço Unitário,Custo Unitário,Lucro Bruto
2023-01-01,Norte,Fone de Ouvido,17,1036.74,656.71,6460.509999999999
2023-01-01,Nordeste,Smartphone,3,2744.04,2038.45,2116.7699999999995
2023-01-01,Centro-Oeste,Carregador,18,3455.8,1706.2,31492.800000000003
2023-01-01,Centro-Oeste,Smartphone,17,1066.14,866.72,3390.1400000000012
2023-01-01,Sudeste,Carregador,19,3985.68,1073.64,55328.76
2023-01-01,Sul,Carregador,17,4809.26,2856.87,33190.630000000005
2023-01-01,Norte,Mouse,12,1601.4,392.67,14504.76
2023-01-01,Centro-Oeste,Carregador,14,3784.92,718.44,42930.72
2023-01-01,Sudeste,Teclado,10,1201.27,897.26,3040.1
2023-01-01,Sul,Smartphone,12,2195.11,1712.21,5794.800000000001
2023-01-02,Nordeste,Teclado,1,2416.63,1372.2,1044.43
2023-01-02,Norte,Mouse,1,1950.5,991.97,958.53
2023-01-02,Sudeste,Monitor,13,1991.09,534.73,18932.68
2023-01-02,Norte,Carregador,12,3005.64,1599.97,16868.039999999997
2023-01-02,Centro-Oeste,Teclado,9,2683.8,1989.08,6252.480000000002
2023-01-03,Norte,Mouse,11,1968.03,878.26,11987.47
2023-01-03,Sul,Fone de Ouvido,7,3428.26,1113.94,16200.240000000002
2023-01-03,Nordeste,Mouse,15,3050.02,2955.31,1420.6500000000005
2023-01-04,Sudeste,Smartphone,13,952.45,335.57,8019.440000000001
2023-01-04,Sudeste,Carregador,2,2634.45,336.92,4595.0599999999995
2023-01-04,Sudeste,Carregador,7,2455.92,2266.37,1326.8500000000013
2023-01-05,Sul,Carregador,15,4229.89,2014.82,33226.05000000001
2023-01-05,Nordeste,Fone de Ouvido,3,2540.2,1993.24,1640.8799999999994
2023-01-05,Centro-Oeste,Notebook,7,2849.23,1704.92,8010.17
2023-01-05,Sul,Monitor,9,4052.61,2829.22,11010.510000000002
2023-01-05,Sudeste,Carregador,13,2274.25,99.27,28274.74
2023-01-05,Norte,Notebook,19,1919.42,1207.14,13533.32
2023-01-05,Norte,Teclado,5,1104.41,944.35,800.3000000000003
2023-01-06,Centro-Oeste,Mouse,7,2051.65,96.67,13684.86
2023-01-06,Centro-Oeste,Mouse,19,4315.31,772.33,67316.62000000001
2023-01-07,Centro-Oeste,Smartphone,14,1889.53,1312.39,8079.959999999998
2023-01-07,Nordeste,Carregador,7,1109.3,572.59,3756.9699999999993
2023-01-07,Centro-Oeste,Mouse,16,1436.56,50.27,22180.64
2023-01-07,Centro-Oeste,Fone de Ouvido,12,2002.0,1709.49,3510.12
2023-01-08,Sul,Monitor,17,3528.83,1294.19,37988.88
2023-01-08,Norte,Notebook,19,3795.86,74.34,70708.88
2023-01-08,Sudeste,Teclado,9,1754.64,34.76,15478.920000000002
2023-01-08,Sul,Smartphone,19,4492.16,933.13,67621.56999999999
2023-01-08,Sudeste,Mouse,19,4544.42,2900.87,31227.450000000004
2023-01-08,Norte,Fone de Ouvido,1,1567.67,318.93,1248.74
2023-01-08,Nordeste,Carregador,15,2342.43,927.46,21224.549999999996
2023-01-09,Centro-Oeste,Smartphone,4,4895.76,1172.21,14894.2
2023-01-09,Sudeste,Notebook,15,4725.2,2452.91,34084.35
2023-01-09,Sul,Mouse,2,1179.21,984.6,389.22
2023-01-09,Centro-Oeste,Smartphone,15,2870.11,372.42,37465.35
2023-01-09,Nordeste,Carregador,11,2182.27,2164.04,200.5300000000002
2023-01-09,Sudeste,Teclado,5,1614.7,281.54,6665.8
2023-01-10,Centro-Oeste,Mouse,2,685.39,471.6,427.5799999999999
2023-01-10,Nordeste,Notebook,19,2910.85,1624.62,24438.37
2023-01-10,Sul,Notebook,4,2297.0,1444.8,3408.8
2023-01-10,Centro-Oeste,Mouse,19,2933.98,687.85,42676.47
2023-01-11,Centro-Oeste,Mouse,14,4724.97,2157.59,35943.32
2023-01-11,Nordeste,Mouse,18,2118.32,328.28,32220.720000000005
2023-01-11,Sudeste,Notebook,17,4834.07,1843.25,50843.939999999995
2023-01-12,Sul,Fone de Ouvido,19,1688.27,810.49,16677.82
2023-01-12,Centro-Oeste,Smartphone,19,3414.72,1885.77,29050.049999999996
2023-01-12,Nordeste,Smartphone,16,1438.28,1036.61,6426.720000000001
2023-01-13,Nordeste,Carregador,13,2806.28,1445.56,17689.360000000004
2023-01-13,Nordeste,Notebook,9,2708.54,2091.26,5555.519999999998
2023-01-13,Centro-Oeste,Carregador,6,4888.5,2569.38,13914.72
2023-01-13,Sudeste,Teclado,5,3494.65,563.96,14653.45
2023-01-14,Nordeste,Fone de Ouvido,11,3942.17,2581.28,14969.789999999999
2023-01-14,Nordeste,Teclado,8,3003.37,69.96,23467.28
2023-01-14,Norte,Fone de Ouvido,14,2460.27,1524.8,13096.58
2023-01-14,Sudeste,Notebook,12,4115.31,715.95,40792.32000000001
2023-01-14,Norte,Fone de Ouvido,3,2486.22,1393.82,3277.2
2023-01-14,Centro-Oeste,Smartphone,3,3827.15,1713.45,6341.099999999999
2023-01-15,Nordeste,Monitor,2,4500.65,2291.5,4418.299999999999
2023-01-15,Nordeste,Monitor,3,3928.17,2113.92,5442.75
2023-01-16,Nordeste,Monitor,7,3430.0,683.44,19225.92
2023-01-16,Sudeste,Fone de Ouvido,10,4681.66,224.48,44571.8
2023-01-16,Sul,Teclado,17,3184.85,442.06,46627.43
2023-01-16,Nordeste,Smartphone,16,1660.75,567.28,17495.52
2023-01-17,Centro-Oeste,Carregador,7,3676.47,793.54,20180.51
2023-01-17,Centro-Oeste,Notebook,13,4079.57,2449.3,21193.51
2023-01-17,Sul,Smartphone,17,3710.65,583.34,53164.27
2023-01-17,Sul,Teclado,9,2403.03,1590.86,7309.5300000000025
2023-01-17,Centro-Oeste,Carregador,1,3911.95,1534.83,2377.12
2023-01-18,Sudeste,Fone de Ouvido,19,3108.97,1642.19,27868.819999999996
2023-01-18,Norte,Notebook,8,2758.87,629.66,17033.68
2023-01-18,Nordeste,Carregador,19,1737.04,369.83,25976.99
2023-01-19,Norte,Smartphone,15,4791.67,2278.58,37696.350000000006
2023-01-19,Centro-Oeste,Fone de Ouvido,9,3643.17,2775.09,7812.719999999999
2023-01-19,Sul,Fone de Ouvido,17,2472.77,1999.2,8050.689999999999
2023-01-19,Centro-Oeste,Teclado,15,2589.0,1221.73,20509.05
2023-01-19,Sudeste,Teclado,10,4029.91,845.48,31844.3
2023-01-19,Sul,Monitor,14,2006.37,1911.05,1334.479999999999
2023-01-20,Sul,Carregador,15,2877.72,140.55,41057.549999999996
2023-01-21,Sul,Smartphone,19,4973.76,1213.26,71449.5
2023-01-21,Sudeste,Notebook,17,4461.75,668.09,64492.22
2023-01-21,Nordeste,Notebook,5,4143.27,1314.04,14146.150000000001
2023-01-21,Sul,Mouse,14,3590.2,1469.09,29695.539999999994
2023-01-21,Nordeste,Monitor,18,4464.78,2071.01,43087.85999999999
2023-01-21,Sul,Fone de Ouvido,1,3494.52,2148.25,1346.27
2023-01-21,Sudeste,Fone de Ouvido,4,3409.97,775.77,10536.8
2023-01-21,Norte,Teclado,16,2646.22,1614.76,16503.359999999997
2023-01-21,Sudeste,Notebook,13,4526.67,1584.08,38253.67
2023-01-22,Norte,Smartphone,1,3424.29,321.11,3103.18
2023-01-22,Sul,Monitor,8,1948.14,1304.12,5152.160000000002
2023-01-22,Nordeste,Notebook,10,1881.33,1581.87,2994.6000000000004
2023-01-22,Centro-Oeste,Monitor,11,2505.68,2203.21,3327.169999999998
2023-01-22,Centro-Oeste,Carregador,2,2713.67,1733.98,1959.38
2023-01-22,Sul,Smartphone,4,1408.02,1006.85,1604.6799999999998
2023-01-22,Norte,Teclado,16,4399.81,645.72,60065.44
